81,40,99,114,94,116,69,125,84,95,90,66,74
101,108,166,82,47,99,96,109,84,171,100,96,84
101,62,80,112,90,77,81,81,49,100,34,145,123
131,46,99,130,86,57,114,83,102,116,135,77,75
144,95,127,85,109,113,67,17,124,77,123,96,140
106,107,63,115,74,117,97,63,55,46,61,98,52
68,86,131,180,53,99,102,80,53,59,19,66,150
109,109,81,83,91,96,97,73,75,109,143,104,98
131,116,118,107,108,90,102,115,96,95,95,99,28
127,114,77,84,104,90,80,107,127,92,121,22,114
96,87,145,127,113,87,49,78,110,119,111,160,26
49,101,129,81,65,136,103,58,91,156,105,134,103
54,77,72,81,68,128,65,117,68,122,128,129,161
82,138,148,113,73,82,126,91,95,83,107,119,88
109,71,85,92,112,115,84,103,109,102,42,83,108
75,59,117,73,102,76,119,103,71,121,113,57,113
46,74,98,28,104,72,145,89,100,95,83,79,82
133,72,93,51,124,89,83,115,101,137,99,108,118
80,55,154,77,113,99,75,100,133,130,100,150,82
123,55,47,117,88,76,126,94,140,111,103,63,119
106,145,48,114,98,50,103,61,37,46,76,149,63
54,95,117,109,160,117,94,94,126,57,76,62,95
95,65,28,124,136,80,97,121,74,63,61,117,84
113,125,118,87,80,94,71,81,54,125,126,91,70
73,64,132,105,37,111,125,105,75,92,96,35,96
72,139,48,91,81,96,79,112,79,150,107,168,49
103,84,92,107,97,94,126,193,102,89,124,57,44
62,70,75,88,33,104,78,72,87,93,58,72,49
73,133,121,124,132,110,137,87,53,86,59,80,69
133,76,74,46,136,76,102,80,83,132,88,82,118
83,93,117,164,93,104,0,47,36,125,114,99,95
107,115,70,85,81,111,88,99,141,99,67,103,131
78,102,125,56,116,104,131,103,74,78,71,156,123
47,74,104,59,115,47,84,82,114,82,109,136,79
79,30,58,92,89,128,74,92,113,82,103,122,52
76,70,59,132,76,62,107,90,73,114,110,73,94
99,114,95,65,101,151,137,84,47,123,114,125,83
78,125,34,106,149,73,115,67,47,142,124,87,130
123,100,121,68,49,86,96,72,117,124,41,84,71
31,121,137,122,145,126,109,66,89,61,97,109,140
105,103,113,77,38,52,109,114,125,123,104,57,101
77,137,59,69,68,107,88,92,79,97,42,21,107
122,138,100,158,110,115,105,103,5,72,96,81,72
95,76,160,101,126,109,93,72,61,87,125,68,63
142,94,131,132,67,71,114,28,117,89,47,119,88
81,111,109,122,88,107,112,95,99,93,94,85,94
84,132,119,99,69,64,50,112,149,97,76,136,49
107,98,133,134,47,102,77,127,103,89,114,77,96
125,78,99,90,127,77,56,38,39,80,59,112,70
57,92,90,109,79,99,96,102,168,130,59,108,106
14,53,85,46,94,69,25,98,125,136,132,105,122
87,77,98,56,156,105,90,94,49,109,108,64,36
101,67,86,116,103,78,125,90,100,95,134,95,71
139,99,70,82,92,68,106,151,92,136,119,89,85
85,86,65,81,115,27,135,58,70,82,112,76,26
96,127,111,105,100,107,93,99,39,84,97,84,15
113,99,76,14,57,145,77,106,65,95,53,79,42
75,59,65,82,115,76,38,34,101,123,93,84,120
63,106,52,61,93,136,172,106,76,90,99,67,142
86,63,52,107,90,88,102,137,67,110,108,56,74
